test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 5c6dTc; 26.57
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 5cTdAd; 34.49
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 6c6d6h; 34.03
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 6c6d7d; 30.59
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 6c7c7d; 31.69
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 6c7c8c; 26.03
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 6c7d8d; 26.22
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 6c7d8h; 24.57
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 6cJcJd; 29.81
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 6cTcAc; 34.39
